hour,transaction_count,fraud_count,total_amount,avg_amount,avg_ip_risk,fraud_rate,hour_of_day,day_of_week,is_weekend
2022-01-01 00:00:00,40,1,9341.66,233.54,19.92,0.025,0,5,1
2022-01-01 01:00:00,43,0,6295.77,146.41,20.32,0.0,1,5,1
2022-01-01 02:00:00,41,1,10763.95,262.54,22.13,0.02439,2,5,1
2022-01-01 03:00:00,34,0,9354.5,275.13,22.0,0.0,3,5,1
2022-01-01 04:00:00,39,2,5897.09,151.21,25.87,0.051282,4,5,1
2022-01-01 05:00:00,39,0,5356.52,137.35,22.48,0.0,5,5,1
2022-01-01 06:00:00,47,0,7786.56,165.67,22.85,0.0,6,5,1
2022-01-01 07:00:00,38,0,10865.44,285.93,23.73,0.0,7,5,1
2022-01-01 08:00:00,41,0,4695.9,114.53,22.2,0.0,8,5,1
2022-01-01 09:00:00,34,0,8617.67,253.46,25.31,0.0,9,5,1
2022-01-01 10:00:00,40,2,5053.23,126.33,18.32,0.05,10,5,1
2022-01-01 11:00:00,34,0,5051.46,148.57,22.91,0.0,11,5,1
2022-01-01 12:00:00,40,0,4854.16,121.35,20.59,0.0,12,5,1
2022-01-01 13:00:00,40,2,7589.58,189.74,23.28,0.05,13,5,1
2022-01-01 14:00:00,34,0,7830.42,230.31,18.96,0.0,14,5,1
2022-01-01 15:00:00,33,0,4239.2,128.46,21.7,0.0,15,5,1
2022-01-01 16:00:00,38,1,5933.24,156.14,22.32,0.026316,16,5,1
2022-01-01 17:00:00,32,0,5990.51,187.2,19.5,0.0,17,5,1
2022-01-01 18:00:00,39,0,7841.96,201.08,19.24,0.0,18,5,1
2022-01-01 19:00:00,31,1,3962.23,127.81,19.16,0.032258,19,5,1
2022-01-01 20:00:00,40,0,7719.38,192.98,22.72,0.0,20,5,1
2022-01-01 21:00:00,38,0,8484.38,223.27,17.74,0.0,21,5,1
2022-01-01 22:00:00,34,0,5469.77,160.88,19.75,0.0,22,5,1
2022-01-01 23:00:00,43,0,6919.93,160.93,21.84,0.0,23,5,1
2022-01-02 00:00:00,55,2,9880.11,179.64,24.37,0.036364,0,6,1
2022-01-02 01:00:00,33,0,6589.14,199.67,24.41,0.0,1,6,1
2022-01-02 02:00:00,40,4,7936.68,198.42,23.29,0.1,2,6,1
2022-01-02 03:00:00,42,1,8676.62,206.59,21.43,0.02381,3,6,1
2022-01-02 04:00:00,41,2,5579.18,136.08,26.0,0.04878,4,6,1
2022-01-02 05:00:00,39,2,6538.15,167.64,23.66,0.051282,5,6,1
2022-01-02 06:00:00,26,0,3188.55,122.64,17.03,0.0,6,6,1
2022-01-02 07:00:00,44,1,6858.56,155.88,24.78,0.022727,7,6,1
2022-01-02 08:00:00,34,0,4750.24,139.71,23.41,0.0,8,6,1
2022-01-02 09:00:00,47,0,8931.61,190.03,21.92,0.0,9,6,1
2022-01-02 10:00:00,34,0,5925.31,174.27,19.75,0.0,10,6,1
2022-01-02 11:00:00,48,0,7470.64,155.64,22.57,0.0,11,6,1
2022-01-02 12:00:00,43,0,6949.13,161.61,22.57,0.0,12,6,1
2022-01-02 13:00:00,37,0,3815.13,103.11,18.71,0.0,13,6,1
2022-01-02 14:00:00,25,0,5487.75,219.51,20.9,0.0,14,6,1
